run_dir,repo,run_id,file_count,text_file_count,total_size,avg_file_size,kw_total,kw_count_137,kw_count_killed,kw_count_oom,kw_count_out of memory,kw_count_memory limit,kw_count_no memory
facebook_react-native_20127540810,facebook_react-native,20127540810,2,2,201485,100742.5,19,19,0,0,0,0,0
facebook_react-native_20127541479,facebook_react-native,20127541479,114,114,446130490,3913425.350877193,4396,4138,2,256,0,0,0
facebook_react-native_20127673924,facebook_react-native,20127673924,2,2,201795,100897.5,21,21,0,0,0,0,0
facebook_react-native_20127674253,facebook_react-native,20127674253,114,114,446711352,3918520.6315789474,4465,4207,2,256,0,0,0
facebook_react-native_20127675058,facebook_react-native,20127675058,2,2,213433,106716.5,19,19,0,0,0,0,0
facebook_react-native_20127676044,facebook_react-native,20127676044,114,114,446752002,3918877.210526316,4557,4299,2,256,0,0,0
facebook_react-native_20127695587,facebook_react-native,20127695587,2,2,199773,99886.5,33,33,0,0,0,0,0
facebook_react-native_20127696278,facebook_react-native,20127696278,114,114,408304870,3581621.6666666665,4158,3900,2,256,0,0,0
facebook_react-native_20127703145,facebook_react-native,20127703145,2,2,218950,109475.0,131,131,0,0,0,0,0
facebook_react-native_20127703920,facebook_react-native,20127703920,114,114,445043006,3903886.01754386,4383,4125,2,256,0,0,0
facebook_react-native_20131679528,facebook_react-native,20131679528,2,2,199252,99626.0,27,27,0,0,0,0,0
facebook_react-native_20131680286,facebook_react-native,20131680286,114,114,446861654,3919839.0701754387,4545,4287,2,256,0,0,0
facebook_react-native_20131693622,facebook_react-native,20131693622,2,2,201328,100664.0,31,31,0,0,0,0,0
facebook_react-native_20131730355,facebook_react-native,20131730355,2,2,200277,100138.5,14,14,0,0,0,0,0
facebook_react-native_20131730697,facebook_react-native,20131730697,114,114,446527789,3916910.4298245613,4464,4206,2,256,0,0,0
facebook_react-native_20131782122,facebook_react-native,20131782122,2,2,219180,109590.0,58,58,0,0,0,0,0
facebook_react-native_20131790047,facebook_react-native,20131790047,2,2,201864,100932.0,17,17,0,0,0,0,0
facebook_react-native_20131790959,facebook_react-native,20131790959,114,114,447127769,3922173.4122807016,4628,4370,2,256,0,0,0
facebook_react-native_20131801351,facebook_react-native,20131801351,2,2,214213,107106.5,21,21,0,0,0,0,0
facebook_react-native_20132030546,facebook_react-native,20132030546,2,2,198254,99127.0,18,18,0,0,0,0,0
facebook_react-native_20132712293,facebook_react-native,20132712293,2,2,200402,100201.0,26,26,0,0,0,0,0
facebook_react-native_20135439507,facebook_react-native,20135439507,2,2,196004,98002.0,15,15,0,0,0,0,0
facebook_react-native_20135440338,facebook_react-native,20135440338,134,134,390077238,2911024.1641791044,4328,4057,0,271,0,0,0
facebook_react-native_20136146424,facebook_react-native,20136146424,2,2,200726,100363.0,22,22,0,0,0,0,0
facebook_react-native_20136147524,facebook_react-native,20136147524,72,72,142036638,1972731.0833333333,1356,1349,1,6,0,0,0
facebook_react-native_20136402583,facebook_react-native,20136402583,2,2,203185,101592.5,17,17,0,0,0,0,0
facebook_react-native_20136407073,facebook_react-native,20136407073,2,2,199312,99656.0,20,20,0,0,0,0,0
facebook_react-native_20136407494,facebook_react-native,20136407494,2,2,203142,101571.0,19,19,0,0,0,0,0
facebook_react-native_20136545951,facebook_react-native,20136545951,2,2,201064,100532.0,16,16,0,0,0,0,0
facebook_react-native_20136596010,facebook_react-native,20136596010,2,2,201334,100667.0,20,20,0,0,0,0,0
facebook_react-native_20136776139,facebook_react-native,20136776139,2,2,203594,101797.0,22,22,0,0,0,0,0
facebook_react-native_20136783383,facebook_react-native,20136783383,2,2,198503,99251.5,21,21,0,0,0,0,0
facebook_react-native_20136832644,facebook_react-native,20136832644,2,2,199926,99963.0,15,15,0,0,0,0,0
facebook_react-native_20136923153,facebook_react-native,20136923153,2,2,201285,100642.5,24,24,0,0,0,0,0
facebook_react_19928965714,facebook_react,19928965714,22,22,946982,43044.63636363636,38,38,0,0,0,0,0
facebook_react_19928965729,facebook_react,19928965729,456,456,14469865,31732.160087719298,1071,1071,0,0,0,0,0
facebook_react_19928965735,facebook_react,19928965735,8,8,192083,24010.375,11,11,0,0,0,0,0
facebook_react_19930628723,facebook_react,19930628723,8,8,193933,24241.625,13,13,0,0,0,0,0
facebook_react_19930628782,facebook_react,19930628782,22,22,931532,42342.36363636364,37,37,0,0,0,0,0
facebook_react_19930749344,facebook_react,19930749344,8,8,146879,18359.875,6,6,0,0,0,0,0
facebook_react_19930749369,facebook_react,19930749369,22,22,881354,40061.545454545456,39,39,0,0,0,0,0
facebook_react_19930934255,facebook_react,19930934255,8,8,145666,18208.25,4,4,0,0,0,0,0
facebook_react_19931065795,facebook_react,19931065795,8,8,146238,18279.75,4,4,0,0,0,0,0
facebook_react_19935873641,facebook_react,19935873641,2,2,46348,23174.0,1,1,0,0,0,0,0
